sample,BS33076,,GA0130000,N  ,000,STATE,950,RTOR,,TC,Y  ,09/03/2019,6:00:00 AM,RT,,9/3/2019,,,,,.95,,,   ,,,,,,,
result,BS33076,9/3/2019,GA0130000,000,STATE,3100,09/03/2019,15:15:00,9/4/2019,16:00:00,09/13/2019,A  ,,,,,A  ,,,,   ,,,,,,,,,,
sample,BS33077,,GA0130000,N  ,000,STATE,950,RTOR,,TC,Y  ,09/03/2019,6:15:00 AM,RT,,9/3/2019,,,,,.9,,,   ,,,,,,,
result,BS33077,9/3/2019,GA0130000,000,STATE,3100,09/03/2019,15:15:00,9/4/2019,16:00:00,09/13/2019,A  ,,,,,A  ,,,,   ,,,,,,,,,,
sample,BS33078,,GA0130000,N  ,000,STATE,950,RTOR,,TC,Y  ,09/03/2019,6:45:00 AM,RT,,9/3/2019,,,,,.52,,,   ,,,,,,,
result,BS33078,9/3/2019,GA0130000,000,STATE,3100,09/03/2019,15:15:00,9/4/2019,16:00:00,09/13/2019,A  ,,,,,A  ,,,,   ,,,,,,,,,,
sample,BS33079,,GA0130000,N  ,000,STATE,950,RTOR,,TC,Y  ,09/03/2019,7:00:00 AM,RT,,9/3/2019,,,,,1.1,,,   ,,,,,,,
result,BS33079,9/3/2019,GA0130000,000,STATE,3100,09/03/2019,15:15:00,9/4/2019,16:00:00,09/13/2019,A  ,,,,,A  ,,,,   ,,,,,,,,,,
sample,BS33080,,GA1570003,N  ,000,STATE,950,RTOR,,TC,Y  ,09/03/2019,7:50:00 AM,RT,,9/3/2019,,,,,1.9,,,   ,,,,,,,
result,BS33080,9/3/2019,GA1570003,000,STATE,3100,09/03/2019,15:15:00,9/4/2019,16:00:00,09/13/2019,A  ,,,,,A  ,,,,   ,,,,,,,,,,
sample,BS33081,,GA1570003,N  ,000,STATE,950,RTOR,,TC,Y  ,09/03/2019,8:35:00 AM,RT,,9/3/2019,,,,,1.2,,,   ,,,,,,,
result,BS33081,9/3/2019,GA1570003,000,STATE,3100,09/03/2019,15:15:00,9/4/2019,16:00:00,09/13/2019,A  ,,,,,A  ,,,,   ,,,,,,,,,,
sample,BS33082,,GA1570003,N  ,000,STATE,950,RTOR,,TC,Y  ,09/03/2019,8:50:00 AM,RT,,9/3/2019,,,,,.5,,,   ,,,,,,,
result,BS33082,9/3/2019,GA1570003,000,STATE,3100,09/03/2019,15:15:00,9/4/2019,16:00:00,09/13/2019,A  ,,,,,A  ,,,,   ,,,,,,,,,,
sample,BS33083,,GA1570003,N  ,000,STATE,950,RTOR,,TC,Y  ,09/03/2019,9:00:00 AM,RT,,9/3/2019,,,,,.5,,,   ,,,,,,,
result,BS33083,9/3/2019,GA1570003,000,STATE,3100,09/03/2019,15:15:00,9/4/2019,16:00:00,09/13/2019,A  ,,,,,A  ,,,,   ,,,,,,,,,,
sample,BS33084,,GA1570003,N  ,000,STATE,950,RTOR,,TC,Y  ,09/03/2019,9:33:00 AM,RT,,9/3/2019,,,,,1.7,,,   ,,,,,,,
result,BS33084,9/3/2019,GA1570003,000,STATE,3100,09/03/2019,15:15:00,9/4/2019,16:00:00,09/13/2019,A  ,,,,,A  ,,,,   ,,,,,,,,,,
sample,BS33085,,GA2230001,N  ,000,STATE,950,RTOR,,TC,Y  ,09/03/2019,8:50:00 AM,RT,,9/3/2019,,,,,.7,,,   ,,,,,,,
result,BS33085,9/3/2019,GA2230001,000,STATE,3100,09/03/2019,15:15:00,9/4/2019,16:00:00,09/13/2019,A  ,,,,,A  ,,,,   ,,,,,,,,,,
sample,BS33086,,GA2230001,N  ,000,STATE,950,RTOR,,TC,Y  ,09/03/2019,9:00:00 AM,RT,,9/3/2019,,,,,.5,,,   ,,,,,,,
result,BS33086,9/3/2019,GA2230001,000,STATE,3100,09/03/2019,15:15:00,9/4/2019,16:00:00,09/13/2019,A  ,,,,,A  ,,,,   ,,,,,,,,,,
sample,BS33087,,GA2230001,N  ,000,STATE,950,RTOR,,TC,Y  ,09/03/2019,9:10:00 AM,RT,,9/3/2019,,,,,.6,,,   ,,,,,,,
result,BS33087,9/3/2019,GA2230001,000,STATE,3100,09/03/2019,15:15:00,9/4/2019,16:00:00,09/13/2019,A  ,,,,,A  ,,,,   ,,,,,,,,,,
sample,BS33088,,GA1350000,N  ,000,STATE,950,RTOR,,TC,Y  ,09/03/2019,10:00:00 AM,RT,,9/3/2019,,,,,1.2,,,   ,,,,,,,
result,BS33088,9/3/2019,GA1350000,000,STATE,3100,09/03/2019,15:15:00,9/4/2019,16:00:00,09/13/2019,A  ,,,,,A  ,,,,   ,,,,,,,,,,
sample,BS33089,,GA1350000,N  ,000,STATE,950,RTOR,,TC,Y  ,09/03/2019,10:25:00 AM,RT,,9/3/2019,,,,,1.2,,,   ,,,,,,,
result,BS33089,9/3/2019,GA1350000,000,STATE,3100,09/03/2019,15:15:00,9/4/2019,16:00:00,09/13/2019,A  ,,,,,A  ,,,,   ,,,,,,,,,,
sample,BS33090,,GA1350000,N  ,000,STATE,950,RTOR,,TC,Y  ,09/03/2019,10:50:00 AM,RT,,9/3/2019,,,,,.9,,,   ,,,,,,,
result,BS33090,9/3/2019,GA1350000,000,STATE,3100,09/03/2019,15:15:00,9/4/2019,16:00:00,09/13/2019,A  ,,,,,A  ,,,,   ,,,,,,,,,,
sample,BS33091,,GA1350000,N  ,000,STATE,950,RTOR,,TC,Y  ,09/03/2019,11:15:00 AM,RT,,9/3/2019,,,,,.8,,,   ,,,,,,,
result,BS33091,9/3/2019,GA1350000,000,STATE,3100,09/03/2019,15:15:00,9/4/2019,16:00:00,09/13/2019,A  ,,,,,A  ,,,,   ,,,,,,,,,,
sample,BS33092,,GA1350000,N  ,000,STATE,950,RTOR,,TC,Y  ,09/03/2019,11:35:00 AM,RT,,9/3/2019,,,,,.8,,,   ,,,,,,,
result,BS33092,9/3/2019,GA1350000,000,STATE,3100,09/03/2019,15:15:00,9/4/2019,16:00:00,09/13/2019,A  ,,,,,A  ,,,,   ,,,,,,,,,,
sample,BS33093,,GA2470006,N  ,000,STATE,950,RTOR,,TC,Y  ,09/03/2019,5:00:00 AM,RT,,9/3/2019,,,,,1.2,,,   ,,,,,,,
